2026-05-10T12:00:00,SENSOR,SYS,0,0,245,720
2026-05-10T12:00:30,SENSOR,SYS,0,0,247,718
2026-05-10T12:01:00,SENSOR,SYS,0,0,248,715
2026-05-10T12:01:30,RELAY,SYS,1,0,1,0
2026-05-10T12:02:00,SENSOR,SYS,0,0,249,712
2026-05-10T12:02:30,SENSOR,SYS,0,0,251,710
2026-05-10T12:03:00,RELAY,SYS,2,0,1,0
2026-05-10T12:03:30,SENSOR,SYS,0,0,253,708
2026-05-10T12:04:00,SENSOR,SYS,0,0,255,705
2026-05-10T12:04:30,SENSOR,SYS,0,0,256,704
2026-05-10T12:05:00,MODE,FARMER,0,0,1,0
2026-05-10T12:05:30,SENSOR,SYS,0,0,258,702
2026-05-10T12:06:00,SENSOR,SYS,0,0,260,700
2026-05-10T12:06:30,RELAY,SYS,3,0,1,0
2026-05-10T12:07:00,SENSOR,SYS,0,0,262,698
2026-05-10T12:07:30,SENSOR,SYS,0,0,264,696
2026-05-10T12:08:00,SENSOR,SYS,0,0,265,694
2026-05-10T12:08:30,SENSOR,SYS,0,0,267,692
2026-05-10T12:09:00,SENSOR,SYS,0,0,268,690
2026-05-10T12:09:30,SENSOR,SYS,0,0,270,688
